"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"52101-54140","RB","Dalvin","Dalvin Cook","Cook","23.7","10","10500","JAC@MIN","MIN","JAC","Q","Ankle","","",""
"52101-39280","RB","Derrick","Derrick Henry","Henry","19.454545454545453","11","10000","CLE@TEN","TEN","CLE","","","","",""
"52101-45889","WR","Davante","Davante Adams","Adams","21.311111450195312","9","9500","PHI@GB","GB","PHI","","","","",""
"52101-22015","QB","Russell","Russell Wilson","Wilson","25.685455322265625","11","9000","NYG@SEA","SEA","NYG","","","","",""
"52101-53562","RB","Nick","Nick Chubb","Chubb","14.225000381469727","8","8700","CLE@TEN","CLE","TEN","","","","",""
"52101-63484","QB","Kyler","Kyler Murray","Murray","27.32363614169034","11","8700","LAR@ARI","ARI","LAR","Q","Shoulder - ac joint","","",""
"52101-73048","WR","DK","DK Metcalf","Metcalf","16.80909035422585","11","8500","NYG@SEA","SEA","NYG","","","","",""
"52101-6894","QB","Aaron","Aaron Rodgers","Rodgers","23.89999944513494","11","8500","PHI@GB","GB","PHI","","","","",""
"52101-64555","WR","Calvin","Calvin Ridley","Ridley","15.210000610351562","10","8400","NO@ATL","ATL","NO","Q","Foot","","",""
"52101-40442","RB","Aaron","Aaron Jones","Jones","17","9","8400","PHI@GB","GB","PHI","","","","",""
"52101-72846","WR","A.J.","A.J. Brown","Brown","15.311111450195312","9","8200","CLE@TEN","TEN","CLE","Q","Hip","","",""
"52101-54879","QB","Deshaun","Deshaun Watson","Watson","23.849090576171875","11","8200","IND@HOU","HOU","IND","","","","",""
"52101-29253","WR","Keenan","Keenan Allen","Allen","15.454545454545455","11","8100","NE@LAC","LAC","NE","","","","",""
"52101-16606","WR","DeAndre","DeAndre Hopkins","Hopkins","14.290908813476562","11","8000","LAR@ARI","ARI","LAR","","","","",""
"52101-64119","RB","Chris","Chris Carson","Carson","15.271428789411273","7","8000","NYG@SEA","SEA","NYG","Q","Foot","","",""
"52101-14190","WR","Julio","Julio Jones","Jones","13.524999618530273","8","8000","NO@ATL","ATL","NO","Q","Hamstring","","",""
"52101-27050","WR","Tyler","Tyler Lockett","Lockett","14.554546009410512","11","7900","NYG@SEA","SEA","NYG","","","","",""
"52101-69189","QB","Justin","Justin Herbert","Herbert","24.210000610351564","10","7900","NE@LAC","LAC","NE","","","","",""
"52101-72731","RB","Josh","Josh Jacobs","Jacobs","14.472726995294744","11","7800","LV@NYJ","LV","NYJ","Q","Ankle","","",""
"52101-130288","RB","James","James Robinson","Robinson","16.636363636363637","11","7800","JAC@MIN","JAC","MIN","","","","",""
"52101-21948","QB","Ryan","Ryan Tannehill","Tannehill","20.183636752041902","11","7800","CLE@TEN","TEN","CLE","","","","",""
"52101-39716","WR","Adam","Adam Thielen","Thielen","15.860000610351562","10","7800","JAC@MIN","MIN","JAC","","","","",""
"52101-45565","QB","Taysom","Taysom Hill","Hill","7.561818209561435","11","7700","NO@ATL","NO","ATL","","","","",""
"52101-85671","WR","Justin","Justin Jefferson","Jefferson","14.163636641068893","11","7700","JAC@MIN","MIN","JAC","","","","",""
"52101-42028","WR","Will","Will Fuller V","Fuller V","14.763635808771307","11","7500","IND@HOU","HOU","IND","IR","Suspension","","",""
"52101-42104","RB","Alvin","Alvin Kamara","Kamara","20.827273282137785","11","7500","NO@ATL","NO","ATL","Q","Foot","","",""
"52101-6504","QB","Drew","Drew Brees","Brees","18.32666693793403","9","7500","NO@ATL","NO","ATL","IR","Ribs","","",""
"52101-14185","QB","Cam","Cam Newton","Newton","18.116000366210937","10","7500","NE@LAC","NE","LAC","Q","Abdomen","","",""
"52101-52442","RB","Joe","Joe Mixon","Mixon","14.84999974568685","6","7400","CIN@MIA","CIN","MIA","IR","Foot","","",""
"52101-6616","QB","Matt","Matt Ryan","Ryan","18.165455211292613","11","7400","NO@ATL","ATL","NO","","","","",""
"52101-7659","QB","Ryan","Ryan Fitzpatrick","Fitzpatrick","18.7450008392334","8","7400","CIN@MIA","MIA","CIN","","","","",""
"52101-72776","RB","Alexander","Alexander Mattison","Mattison","4.581818320534446","11","7300","JAC@MIN","MIN","JAC","","","","",""
"52101-22038","QB","Kirk","Kirk Cousins","Cousins","18.310908924449574","11","7300","JAC@MIN","MIN","JAC","","","","",""
"52101-70324","QB","Carson","Carson Wentz","Wentz","18.949091131036933","11","7300","PHI@GB","PHI","GB","","","","",""
"52101-71845","RB","Miles","Miles Sanders","Sanders","12.475000381469727","8","7200","PHI@GB","PHI","GB","","","","",""
"52101-38435","QB","Jared","Jared Goff","Goff","16.939999667080965","11","7200","LAR@ARI","LAR","ARI","","","","",""
"52101-45859","QB","Derek","Derek Carr","Carr","15.84000049937855","11","7200","LV@NYJ","LV","NYJ","","","","",""
"52101-28573","WR","Michael","Michael Thomas","Thomas","7.3","5","7200","NO@ATL","NO","ATL","Q","Ankle","","",""
"52101-63519","QB","Daniel","Daniel Jones","Jones","14.245454268022018","11","7100","NYG@SEA","NYG","SEA","Q","Hamstring","","",""
"52101-41535","QB","Baker","Baker Mayfield","Mayfield","13.719999833540482","11","7100","CLE@TEN","CLE","TEN","","","","",""
"52101-29685","WR","Robert","Robert Woods","Woods","13.62727217240767","11","7100","LAR@ARI","LAR","ARI","","","","",""
"52101-80001","RB","Austin","Austin Ekeler","Ekeler","12.016666412353516","6","7000","NE@LAC","LAC","NE","","","","",""
"52101-24849","QB","Jameis","Jameis Winston","Winston","1.25","2","7000","NO@ATL","NO","ATL","","","","",""
"52101-61798","QB","Gardner","Gardner Minshew II","Minshew II","19.41428484235491","7","7000","JAC@MIN","JAC","MIN","","","","",""
"52101-25011","TE","Darren","Darren Waller","Waller","10.381817904385654","11","7000","LV@NYJ","LV","NYJ","","","","",""
"52101-7968","QB","Philip","Philip Rivers","Rivers","15.80181884765625","11","7000","IND@HOU","IND","HOU","Q","Toe","","",""
"52101-54244","WR","Kenny","Kenny Golladay","Golladay","11.15999984741211","5","7000","DET@CHI","DET","CHI","Q","Hip","","",""
"52101-22027","QB","Nick","Nick Foles","Foles","14.047499656677246","8","6900","DET@CHI","CHI","DET","Q","Hip","","",""
"52101-38628","QB","Mitchell","Mitchell Trubisky","Trubisky","10.454285757882255","7","6900","DET@CHI","CHI","DET","","","","",""
"52101-69531","QB","Jalen","Jalen Hurts","Hurts","0.8577777544657389","9","6900","PHI@GB","PHI","GB","","","","",""
"52101-28643","WR","Allen","Allen Robinson II","Robinson II","13.48181845925071","11","6900","DET@CHI","CHI","DET","","","","",""
"52101-91598","RB","D'Andre","D'Andre Swift","Swift","12.455555386013454","9","6800","DET@CHI","DET","CHI","Q","Illness","","",""
"52101-33260","WR","DeVante","DeVante Parker","Parker","10.381817904385654","11","6800","CIN@MIA","MIA","CIN","","","","",""
"52101-6654","QB","Matthew","Matthew Stafford","Stafford","17.230908480557527","11","6800","DET@CHI","DET","CHI","Q","Thumb","","",""
"52101-25410","QB","Mike","Mike Glennon","Glennon","6","3","6800","JAC@MIN","JAC","MIN","","","","",""
"52101-90572","QB","Tua","Tua Tagovailoa","Tagovailoa","8.463333129882812","6","6700","CIN@MIA","MIA","CIN","Q","Thumb","","",""
"52101-79970","WR","Cooper","Cooper Kupp","Kupp","11.145454406738281","11","6600","LAR@ARI","LAR","ARI","","","","",""
"52101-30989","RB","Kenyan","Kenyan Drake","Drake","12.780000305175781","10","6600","LAR@ARI","ARI","LAR","","","","",""
"52101-40669","WR","Tyler","Tyler Boyd","Boyd","11.903636585582387","11","6600","CIN@MIA","CIN","MIA","","","","",""
"52101-30447","RB","Todd","Todd Gurley II","Gurley II","13.11999969482422","10","6600","NO@ATL","ATL","NO","Q","Knee","","",""
"52101-63589","QB","Sam","Sam Darnold","Darnold","9.297499656677246","8","6500","LV@NYJ","NYJ","LV","","","","",""
"52101-11500","QB","Colt","Colt McCoy","McCoy","0.9700000286102295","2","6500","NYG@SEA","NYG","SEA","","","","",""
"52101-29501","WR","Brandin","Brandin Cooks","Cooks","10.5363637750799","11","6500","IND@HOU","HOU","IND","","","","",""
"52101-63625","RB","Nyheim","Nyheim Hines","Hines","10.636363636363637","11","6400","IND@HOU","IND","HOU","","","","",""
"52101-89675","RB","Jonathan","Jonathan Taylor","Taylor","10.95","10","6400","IND@HOU","IND","HOU","","","","",""
"52101-52929","QB","Jake","Jake Luton","Luton","6.851999664306641","5","6400","JAC@MIN","JAC","MIN","","","","",""
"52101-89981","WR","Tee","Tee Higgins","Higgins","12.20999984741211","10","6400","CIN@MIA","CIN","MIA","","","","",""
"52101-45229","RB","Kareem","Kareem Hunt","Hunt","13.154545177112926","11","6300","CLE@TEN","CLE","TEN","Q","Thigh","","",""
"52101-57651","WR","Travis","Travis Fulgham","Fulgham","10.899999618530273","8","6300","PHI@GB","PHI","GB","","","","",""
"52101-6714","QB","Joe","Joe Flacco","Flacco","11.55199966430664","5","6300","LV@NYJ","NYJ","LV","","","","",""
"52101-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","10.877777947319878","9","6300","JAC@MIN","JAC","MIN","Q","Ribs","","",""
"52101-46866","QB","Ryan","Ryan Finley","Finley","1.0499999523162842","2","6300","CIN@MIA","CIN","MIA","","","","",""
"52101-62497","RB","David","David Johnson","Johnson","10.862500190734863","8","6200","IND@HOU","HOU","IND","IR","Concussion","","",""
"52101-14377","QB","Tyrod","Tyrod Taylor","Taylor","4.510000228881836","2","6200","NE@LAC","LAC","NE","","","","",""
"52101-83074","TE","Dallas","Dallas Goedert","Goedert","8.350000381469727","8","6200","PHI@GB","PHI","GB","","","","",""
"52101-24755","WR","Jamison","Jamison Crowder","Crowder","11.585714067731585","7","6200","LV@NYJ","NYJ","LV","","","","",""
"52101-22994","QB","Case","Case Keenum","Keenum","1.840000033378601","1","6200","CLE@TEN","CLE","TEN","","","","",""
"52101-73273","RB","David","David Montgomery","Montgomery","11.819999694824219","10","6200","DET@CHI","CHI","DET","","","","",""
"52101-71706","TE","T.J.","T.J. Hockenson","Hockenson","9.772727272727273","11","6100","DET@CHI","DET","CHI","","","","",""
"52101-45439","WR","Corey","Corey Davis","Davis","11.211111280653212","9","6100","CLE@TEN","TEN","CLE","","","","",""
"52101-60947","QB","Jarrett","Jarrett Stidham","Stidham","2.18666664759318","3","6100","NE@LAC","NE","LAC","","","","",""
"52101-7872","QB","Brian","Brian Hoyer","Hoyer","1.5","2","6100","NE@LAC","NE","LAC","","","","",""
"52101-39818","RB","Wayne","Wayne Gallman Jr.","Gallman Jr.","8.80999984741211","10","6100","NYG@SEA","NYG","SEA","","","","",""
"52101-24607","QB","Chad","Chad Kelly","Kelly","0","1","6000","IND@HOU","IND","HOU","","","","",""
"52101-71710","QB","Nate","Nate Stanley","Stanley","0","0","6000","JAC@MIN","MIN","JAC","","","","",""
"52101-30761","QB","Nathan","Nathan Peterman","Peterman","1.899999976158142","1","6000","LV@NYJ","LV","NYJ","","","","",""
"52101-30788","QB","Tyler","Tyler Bray","Bray","0.24000000953674316","3","6000","DET@CHI","CHI","DET","","","","",""
"52101-71798","QB","Anthony","Anthony Gordon","Gordon","0","1","6000","NYG@SEA","SEA","NYG","","","","",""
"52101-39034","QB","Kurt","Kurt Benkert","Benkert","0","1","6000","NO@ATL","ATL","NO","","","","",""
"52101-64637","QB","Brian","Brian Lewerke","Lewerke","0","1","6000","NE@LAC","NE","LAC","","","","",""
"52101-83079","QB","Kyle","Kyle Lauletta","Lauletta","0","0","6000","CLE@TEN","CLE","TEN","","","","",""
"52101-69769","QB","Darius","Darius Bradwell","Bradwell","0","1","6000","NE@LAC","LAC","NE","","","","",""
"52101-52369","QB","Manny","Manny Wilkins","Wilkins","0","0","6000","PHI@GB","GB","PHI","","","","",""
"52101-27801","QB","Nate","Nate Sudfeld","Sudfeld","0","1","6000","PHI@GB","PHI","GB","","","","",""
"52101-57537","QB","DeShone","DeShone Kizer","Kizer","0","0","6000","CLE@TEN","TEN","CLE","","","","",""
"52101-45259","QB","Logan","Logan Woodside","Woodside","-0.10999999940395355","2","6000","CLE@TEN","TEN","CLE","","","","",""
"52101-29915","QB","Brett","Brett Hundley","Hundley","0","2","6000","LAR@ARI","ARI","LAR","","","","",""
"52101-130269","QB","Reid","Reid Sinnett","Sinnett","0","1","6000","CIN@MIA","MIA","CIN","","","","",""
"52101-54507","QB","Alex","Alex McGough","McGough","0","0","6000","IND@HOU","HOU","IND","","","","",""
"52101-25837","RB","Duke","Duke Johnson","Johnson","6.3666665818956165","9","6000","IND@HOU","HOU","IND","","","","",""
"52101-130304","QB","Kevin","Kevin Davidson","Davidson","0","1","6000","CLE@TEN","CLE","TEN","","","","",""
"52101-130334","QB","Jalen","Jalen Morton","Morton","0","0","6000","PHI@GB","GB","PHI","","","","",""
"52101-130337","QB","Case","Case Cookus","Cookus","0","1","6000","NYG@SEA","NYG","SEA","","","","",""
"52101-31047","QB","AJ","AJ McCarron","McCarron","8.949999809265137","2","6000","IND@HOU","HOU","IND","","","","",""
"52101-27982","QB","Jake","Jake Rudock","Rudock","0","1","6000","CIN@MIA","MIA","CIN","","","","",""
"52101-60787","QB","Bryce","Bryce Perkins","Perkins","0","2","6000","LAR@ARI","LAR","ARI","","","","",""
"52101-52606","QB","David","David Blough","Blough","0","1","6000","DET@CHI","DET","CHI","","","","",""
"52101-103824","QB","Easton","Easton Stick","Stick","-0.03999999910593033","1","6000","NE@LAC","LAC","NE","","","","",""
"52101-69017","QB","Jordan","Jordan Love","Love","0","0","6000","PHI@GB","GB","PHI","","","","",""
"52101-60840","QB","Jake","Jake Browning","Browning","0","0","6000","JAC@MIN","MIN","JAC","","","","",""
"52101-63920","QB","Josh","Josh Love","Love","0","2","6000","LAR@ARI","LAR","ARI","","","","",""
"52101-31170","QB","Brandon","Brandon Allen","Allen","3.569999933242798","2","6000","CIN@MIA","CIN","MIA","","","","",""
"52101-62945","QB","Nick","Nick Tiano","Tiano","0","0","6000","IND@HOU","HOU","IND","","","","",""
"52101-69132","QB","Khalil","Khalil Tate","Tate","0","1","6000","PHI@GB","PHI","GB","","","","",""
"52101-6679","QB","Matt","Matt Schaub","Schaub","-0.20000000298023224","2","6000","NO@ATL","ATL","NO","","","","",""
"52101-30231","QB","Jacoby","Jacoby Brissett","Brissett","2.8685714176722934","7","6000","IND@HOU","IND","HOU","","","","",""
"52101-40482","QB","Tim","Tim Boyle","Boyle","-0.08571428912026542","7","6000","PHI@GB","GB","PHI","","","","",""
"52101-23075","QB","Alex","Alex Tanney","Tanney","0","1","6000","NYG@SEA","NYG","SEA","","","","",""
"52101-22103","WR","Marvin","Marvin Jones Jr.","Jones Jr.","9.254545731977982","11","6000","DET@CHI","DET","CHI","","","","",""
"52101-8803","QB","Chase","Chase Daniel","Daniel","3.630000114440918","2","6000","DET@CHI","DET","CHI","","","","",""
"52101-6803","QB","Josh","Josh McCown","McCown","0","1","6000","IND@HOU","HOU","IND","","","","",""
"52101-39580","RB","Devontae","Devontae Booker","Booker","6.25","10","6000","LV@NYJ","LV","NYJ","","","","",""
"52101-31394","WR","Jarvis","Jarvis Landry","Landry","8.849090576171875","11","6000","CLE@TEN","CLE","TEN","","","","",""
"52101-29358","QB","Marcus","Marcus Mariota","Mariota","12.43142809186663","7","6000","LV@NYJ","LV","NYJ","","","","",""
"52101-69333","QB","Jacob","Jacob Eason","Eason","0","1","6000","IND@HOU","IND","HOU","","","","",""
"52101-29445","QB","Sean","Sean Mannion","Mannion","0.18000000715255737","3","6000","JAC@MIN","MIN","JAC","","","","",""
"52101-28434","QB","Trevor","Trevor Siemian","Siemian","0.11999999731779099","1","6000","NO@ATL","NO","ATL","","","","",""
"52101-61253","QB","J'mar","J'mar Smith","Smith","0","1","6000","NE@LAC","NE","LAC","","","","",""
"52101-104281","QB","Jake","Jake Dolegala","Dolegala","0","1","6000","NE@LAC","NE","LAC","","","","",""
"52101-61276","QB","James","James Morgan","Morgan","0","1","6000","LV@NYJ","NYJ","LV","","","","",""
"52101-63336","QB","Joe","Joe Burrow","Burrow","17.87200012207031","10","6000","CIN@MIA","CIN","MIA","IR","Knee - acl + mcl","","",""
"52101-55148","QB","Clayton","Clayton Thorson","Thorson","0","1","6000","NYG@SEA","NYG","SEA","","","","",""
"52101-38767","QB","Chris","Chris Streveler","Streveler","0.10000000397364299","3","6000","LAR@ARI","ARI","LAR","","","","",""
"52101-26483","QB","Geno","Geno Smith","Smith","0","1","6000","NYG@SEA","SEA","NYG","","","","",""
"52101-56192","QB","John","John Wolford","Wolford","0","2","6000","LAR@ARI","LAR","ARI","","","","",""
"52101-40845","TE","Hunter","Hunter Henry","Henry","8.381817904385654","11","6000","NE@LAC","LAC","NE","","","","",""
"52101-41872","TE","Evan","Evan Engram","Engram","7.427272449840199","11","6000","NYG@SEA","NYG","SEA","","","","",""
"52101-43956","QB","David","David Fales","Fales","0","1","6000","LV@NYJ","NYJ","LV","","","","",""
"52101-38837","QB","Danny","Danny Etling","Etling","0","1","6000","NYG@SEA","SEA","NYG","","","","",""
"52101-72640","QB","Cole","Cole McDonald","McDonald","0","0","6000","CLE@TEN","TEN","CLE","","","","",""
"52101-64576","RB","Damien","Damien Harris","Harris","9.162500381469727","8","5900","NE@LAC","NE","LAC","","","","",""
"52101-63634","WR","Jakobi","Jakobi Meyers","Meyers","8.682499885559082","8","5900","NE@LAC","NE","LAC","","","","",""
"52101-80353","TE","Robert","Robert Tonyan","Tonyan","10.63000030517578","10","5900","PHI@GB","GB","PHI","","","","",""
"52101-34295","WR","Breshad","Breshad Perriman","Perriman","9.17142813546317","7","5900","LV@NYJ","NYJ","LV","Q","Shoulder","","",""
"52101-60858","WR","Christian","Christian Kirk","Kirk","10.29000015258789","10","5800","LAR@ARI","ARI","LAR","","","","",""
"52101-34331","RB","Latavius","Latavius Murray","Murray","9.0727275501598","11","5800","NO@ATL","NO","ATL","","","","",""
"52101-25290","RB","Giovani","Giovani Bernard","Bernard","8.127272865988992","11","5800","CIN@MIA","CIN","MIA","","","","",""
"52101-54010","RB","Brian","Brian Hill","Hill","4.972727342085405","11","5800","NO@ATL","ATL","NO","","","","",""
"52101-39829","WR","Mike","Mike Williams","Williams","9.3","10","5800","NE@LAC","LAC","NE","","","","",""
"52101-29780","TE","Zach","Zach Ertz","Ertz","6.299999872843425","6","5700","PHI@GB","PHI","GB","Q","Ankle","","",""
"52101-28930","RB","James","James White","White","7.155555725097656","9","5700","NE@LAC","NE","LAC","","","","",""
"52101-63819","WR","Darius","Darius Slayton","Slayton","8.48181845925071","11","5700","NYG@SEA","NYG","SEA","Q","Shoulder","","",""
"52101-43433","RB","Boston","Boston Scott","Scott","6.199999722567472","11","5700","PHI@GB","PHI","GB","","","","",""
"52101-40647","WR","Marquez","Marquez Valdes-Scantling","Valdes-Scantling","8.759999847412109","10","5700","PHI@GB","GB","PHI","","","","",""
"52101-28473","RB","Carlos","Carlos Hyde","Hyde","8.549999872843424","6","5700","NYG@SEA","SEA","NYG","Q","Toe","","",""
"52101-56265","TE","Mike","Mike Gesicki","Gesicki","7.081818320534446","11","5700","CIN@MIA","MIA","CIN","","","","",""
"52101-48116","TE","Jonnu","Jonnu Smith","Smith","9.69000015258789","10","5700","CLE@TEN","TEN","CLE","Q","Undisclosed","","",""
"52101-89230","RB","Cam","Cam Akers","Akers","4.966666751437717","9","5600","LAR@ARI","LAR","ARI","","","","",""
"52101-56809","WR","Allen","Allen Lazard","Lazard","11.740000152587891","5","5600","PHI@GB","GB","PHI","Q","Abdomen","","",""
"52101-70157","RB","Darrell","Darrell Henderson Jr.","Henderson Jr.","9.127272865988992","11","5600","LAR@ARI","LAR","ARI","","","","",""
"52101-22031","WR","T.Y.","T.Y. Hilton","Hilton","6.329999923706055","10","5600","IND@HOU","IND","HOU","","","","",""
"52101-64031","TE","Hayden","Hayden Hurst","Hurst","7.672727411443537","11","5600","NO@ATL","ATL","NO","Q","Ankle","","",""
"52101-6703","RB","Adrian","Adrian Peterson","Peterson","7.427272449840199","11","5600","DET@CHI","DET","CHI","","","","",""
"52101-69213","WR","Michael","Michael Pittman Jr.","Pittman Jr.","6.011110941569011","9","5600","IND@HOU","IND","HOU","","","","",""
"52101-86780","RB","Salvon","Salvon Ahmed","Ahmed","7.300000190734863","4","5600","CIN@MIA","MIA","CIN","Q","Shoulder","","",""
"52101-27477","WR","Sterling","Sterling Shepard","Shepard","8.149999618530273","8","5600","NYG@SEA","NYG","SEA","Q","Toe","","",""
"52101-30733","WR","Cordarrelle","Cordarrelle Patterson","Patterson","3.6818181818181817","11","5500","DET@CHI","CHI","DET","","","","",""
